S/N,State,Hospital Name,Disease,Total Visits,Reported Cases,Month,Year,Date
1,Plateau,JUTH - Jos University Teaching Hospital,Measles,72148,31696,July,2015,"Wednesday, July 1, 2015"
2,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,36587,7437,January,2008,"Tuesday, January 1, 2008"
3,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,42667,21127,November,2015,"Sunday, November 1, 2015"
4,Plateau,BUTH - Bingham University Teaching Hospital,Lassa Fever,42890,309,April,2022,"Friday, April 1, 2022"
5,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,67885,22142,December,2006,"Friday, December 1, 2006"
6,Abia,FMC Umuahia - Federal Medical Centre,Lassa Fever,2236,493,May,2009,"Friday, May 1, 2009"
7,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Malaria,8956,1097,March,2021,"Monday, March 1, 2021"
8,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Tuberculosis,69185,22706,April,2014,"Tuesday, April 1, 2014"
9,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,75290,35481,October,2016,"Saturday, October 1, 2016"
10,Kogi,FMC Lokoja - Federal Medical Centre,Cholera,69725,23361,August,2002,"Thursday, August 1, 2002"
11,Oyo,"UCH - University College Hospital, Ibadan",Measles,16081,1881,July,2010,"Thursday, July 1, 2010"
12,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,55200,10040,November,2015,"Sunday, November 1, 2015"
13,Ogun,FMC Abeokuta - Federal Medical Centre,Measles,30890,9731,August,2012,"Wednesday, August 1, 2012"
14,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,66339,22241,December,2014,"Monday, December 1, 2014"
15,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,49832,15155,May,2014,"Thursday, May 1, 2014"
16,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,17699,6714,March,2016,"Tuesday, March 1, 2016"
17,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,52234,23315,October,2013,"Tuesday, October 1, 2013"
18,Bayelsa,FMC Yenagoa - Federal Medical Centre,Cholera,22542,5218,June,2000,"Thursday, June 1, 2000"
19,Abia,FMC Umuahia - Federal Medical Centre,Cholera,50634,1840,January,2012,"Sunday, January 1, 2012"
20,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Lassa Fever,29362,6746,August,2023,"Tuesday, August 1, 2023"
21,Imo,FMC Owerri - Federal Medical Centre,Measles,10656,1637,May,2005,"Sunday, May 1, 2005"
22,Imo,FMC Owerri - Federal Medical Centre,Cholera,19790,5305,January,2020,"Wednesday, January 1, 2020"
23,Delta,DELTA FMC - Federal Medical Centre Asaba,Tuberculosis,27359,2196,November,2024,"Friday, November 1, 2024"
24,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Malaria,9363,313,July,2000,"Saturday, July 1, 2000"
25,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,57482,27605,June,2002,"Saturday, June 1, 2002"
26,Plateau,JUTH - Jos University Teaching Hospital,Cholera,6315,306,March,2007,"Thursday, March 1, 2007"
27,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,4453,724,March,2019,"Friday, March 1, 2019"
28,Abia,FMC Umuahia - Federal Medical Centre,Cholera,32853,880,June,2015,"Monday, June 1, 2015"
29,Kogi,FMC Lokoja - Federal Medical Centre,Lassa Fever,19991,5358,December,2004,"Wednesday, December 1, 2004"
30,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,63464,19351,June,2022,"Wednesday, June 1, 2022"
31,Plateau,BUTH - Bingham University Teaching Hospital,Cholera,31588,1926,July,2014,"Tuesday, July 1, 2014"
32,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Malaria,26851,1986,August,2010,"Sunday, August 1, 2010"
33,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,64246,3756,June,2008,"Sunday, June 1, 2008"
34,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Tuberculosis,26289,9502,January,2000,"Saturday, January 1, 2000"
35,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Tuberculosis,74968,13802,June,2010,"Tuesday, June 1, 2010"
36,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,16772,5078,June,2010,"Tuesday, June 1, 2010"
37,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Lassa Fever,6583,2556,September,2019,"Sunday, September 1, 2019"
38,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Lassa Fever,12308,1599,March,2024,"Friday, March 1, 2024"
39,Delta,DELTA FMC - Federal Medical Centre Asaba,Lassa Fever,37350,791,June,2023,"Thursday, June 1, 2023"
40,Delta,DELTA FMC - Federal Medical Centre Asaba,Tuberculosis,53729,2430,July,2022,"Friday, July 1, 2022"
41,Lagos,LASUTH - Lagos State University Teaching Hospital,Lassa Fever,29468,10972,June,2005,"Wednesday, June 1, 2005"
42,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,74396,14566,July,2006,"Saturday, July 1, 2006"
43,Delta,DELTA FMC - Federal Medical Centre Asaba,Lassa Fever,20395,7407,February,2000,"Tuesday, February 1, 2000"
44,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Malaria,27323,12663,September,2016,"Thursday, September 1, 2016"
